Starting up http-server, serving .

http-server version: 14.1.1

http-server settings: 
CORS: disabled
Cache: -1 seconds
Connection Timeout: 120 seconds
Directory Listings: visible
AutoIndex: visible
Serve GZIP Files: false
Serve Brotli Files: false
Default File Extension: none

Available on:
  http://192.168.1.43:8080
  http://127.0.0.1:8080
Hit CTRL-C to stop the server

[2026-05-20T05:05:24.324Z]  "GET /" "Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.26100.8457"
[2026-05-20T05:22:32.362Z]  "GET /" "Codex local server discovery"
[2026-05-20T05:22:32.388Z]  "GET /styles.css" "Codex local server discovery"
[2026-05-20T05:22:32.719Z]  "GET /" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Codex/26.513.40821 Chrome/148.0.7778.97 Electron/42.0.1 Safari/537.36"
[2026-05-20T05:22:32.735Z]  "GET /styles.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Codex/26.513.40821 Chrome/148.0.7778.97 Electron/42.0.1 Safari/537.36"
[2026-05-20T05:22:32.740Z]  "GET /data/ledger-data.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Codex/26.513.40821 Chrome/148.0.7778.97 Electron/42.0.1 Safari/537.36"
[2026-05-20T05:22:32.747Z]  "GET /app.js?v=3" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Codex/26.513.40821 Chrome/148.0.7778.97 Electron/42.0.1 Safari/537.36"
[2026-05-20T05:22:33.367Z]  "GET /data/anirudh-ledger-v4.xlsx" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Codex/26.513.40821 Chrome/148.0.7778.97 Electron/42.0.1 Safari/537.36"
[2026-05-20T05:22:47.807Z]  "GET /" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
[2026-05-20T05:22:47.853Z]  "GET /styles.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
[2026-05-20T05:22:47.855Z]  "GET /data/ledger-data.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
[2026-05-20T05:22:47.858Z]  "GET /app.js?v=3" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
[2026-05-20T05:22:48.120Z]  "GET /data/anirudh-ledger-v4.xlsx" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
[2026-05-20T05:22:48.584Z]  "GET /favicon.ico" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
[2026-05-20T05:22:48.585Z]  "GET /favicon.ico" Error (404): "Not found"
[2026-05-20T05:24:10.171Z]  "GET /" "Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.26100.8457"
[2026-05-20T05:24:17.550Z]  "GET /" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
[2026-05-20T05:24:17.590Z]  "GET /styles.css?v=13" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
[2026-05-20T05:24:17.593Z]  "GET /data/ledger-data.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
[2026-05-20T05:24:17.595Z]  "GET /app.js?v=13" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
[2026-05-20T05:24:17.858Z]  "GET /data/anirudh-ledger-v4.xlsx" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
[2026-05-20T05:24:18.032Z]  "GET /terrain.js?v=anchor-v13" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
